fault,seed,eth_min,prb_min,first_channel
heater_off,0,89.99999999999955,4.999999999999849,T
heater_off,1,94.99999999999953,4.999999999999849,T
heater_off,2,84.99999999999956,4.999999999999849,T
heater_off,3,109.99999999999947,4.999999999999849,T
heater_off,4,89.99999999999955,4.999999999999849,T
heater_clog,0,99.99999999999952,4.999999999999849,T
heater_clog,1,124.99999999999945,4.999999999999849,T
heater_clog,2,109.99999999999947,4.999999999999849,T
heater_clog,3,124.99999999999945,4.999999999999849,T
heater_clog,4,119.99999999999945,4.999999999999849,T
acid_pump_off,0,,,
acid_pump_off,1,,,
acid_pump_off,2,,,
acid_pump_off,3,,,
acid_pump_off,4,,,
acid_pump_stuck,0,89.99999999999955,4.999999999999849,pH
acid_pump_stuck,1,89.99999999999955,4.999999999999849,pH
acid_pump_stuck,2,84.99999999999956,4.999999999999849,pH
acid_pump_stuck,3,104.99999999999949,4.999999999999849,pH
acid_pump_stuck,4,84.99999999999956,4.999999999999849,pH
base_pump_off,0,,49.99999999999969,pH
base_pump_off,1,,49.99999999999969,pH
base_pump_off,2,,49.99999999999969,pH
base_pump_off,3,,49.99999999999969,pH
base_pump_off,4,,54.99999999999967,pH
base_pump_stuck,0,74.9999999999996,4.999999999999849,pH
base_pump_stuck,1,59.99999999999965,4.999999999999849,pH
base_pump_stuck,2,64.99999999999963,4.999999999999849,pH
base_pump_stuck,3,84.99999999999956,4.999999999999849,pH
base_pump_stuck,4,69.99999999999962,4.999999999999849,pH
agitation_aer_stop,0,64.99999999999963,4.999999999999849,DO
agitation_aer_stop,1,64.99999999999963,4.999999999999849,DO
agitation_aer_stop,2,64.99999999999963,4.999999999999849,DO
agitation_aer_stop,3,69.99999999999962,4.999999999999849,DO
agitation_aer_stop,4,64.99999999999963,4.999999999999849,DO
agitation_aer_clog,0,79.99999999999959,4.999999999999849,DO
agitation_aer_clog,1,79.99999999999959,4.999999999999849,DO
agitation_aer_clog,2,79.99999999999959,4.999999999999849,DO
agitation_aer_clog,3,84.99999999999956,4.999999999999849,DO
agitation_aer_clog,4,74.9999999999996,4.999999999999849,DO
