,E,E+T,E+pH,E+DO,E+all
Heater dead,40.00000000000004,5.000000000000009,40.00000000000004,40.00000000000004,5.000000000000009
Heater underpowered (6 % left),45.00000000000003,5.000000000000009,45.00000000000003,45.00000000000003,5.000000000000009
Acid pump dead,,,,,
Acid pump stuck ON,40.00000000000004,40.00000000000004,5.000000000000009,40.00000000000004,5.000000000000009
Base pump dead,,,40.00000000000004,,40.00000000000004
Base pump stuck ON,35.000000000000064,35.000000000000064,5.000000000000009,35.000000000000064,5.000000000000009
Agitation/aeration stopped,84.99999999999989,84.99999999999989,84.99999999999989,10.000000000000025,10.000000000000025
Agitation/aeration restricted (3 % kLa),184.99999999999952,184.99999999999952,184.99999999999952,10.000000000000025,10.000000000000025
