time_h,glucose,fructose,sugar_ref,ethanol,biomass
0.0,200.15776,200.15776,400.31552,0.0,6.2
0.1667778519012675,199.6223903667863,199.4747037113042,399.09709407809044,0.5608303063958149,6.2
0.333555703802535,199.0884547223764,198.7939810373564,397.88243575973286,1.1199264193405714,6.2
0.5003335557038026,198.55595060166146,198.11558624434156,396.67153684600305,1.6772921127239795,6.2
0.66711140760507,198.02487471250706,197.43951251362694,395.46438722613397,2.2329320404396635,6.2
0.8338892595063375,197.4952232321934,196.76575193559833,394.2609751677916,2.786851602773668,6.2
1.0006671114076051,196.96699169562135,196.09429526404048,393.0612869596618,3.33905711091855,6.2
1.1674449633088726,196.44017572088947,195.4251334267575,391.865309147647,3.8895547576722107,6.2
1.33422281521014,195.91477184786706,194.75825928877939,390.67303113664644,4.4383494198626625,6.2
1.5010006671114076,195.39077650345837,194.0936654777245,389.48444198118284,4.985446135592971,6.2
1.667778519012675,194.868185930475,193.4313442378549,388.29953016832985,5.5308502041578445,6.2
1.8345563709139425,194.34699632346752,192.77128773373536,387.11828405720286,6.074566983749966,6.2
2.0013342228152102,193.8272038925702,192.1134881556649,385.9406920482351,6.616601813543825,6.2
2.1681120747164777,193.3088048647912,191.45793773327912,384.7667425980703,7.156960006840691,6.2
2.334889926617745,192.79179550310315,190.8046287902615,383.59642429336463,7.695646817098382,6.2
2.5016677785190127,192.27617205326976,190.15355360529372,382.4297256585634,8.232667526409678,6.2
2.66844563042028,191.76193077860492,189.5047045028705,381.2666352814755,8.768027387701867,6.2
2.8352234823215476,191.24906796983782,188.85807387906212,380.10714184889997,9.301731608337715,6.2
3.002001334222815,190.73757990020923,188.21365408427897,378.95123398448817,9.833785424746505,6.2
3.1687791861240826,190.22746286698722,187.57143753141926,377.7989003984065,10.364194033535433,6.2
3.33555703802535,189.7187131830761,186.9314166740993,376.6501298571754,10.892962605372293,6.2
3.5023348899266176,189.2113271614624,186.2935839662512,375.5049111277136,11.42009631074168,6.2
3.669112741827885,188.70530112868485,185.65793189715458,374.36323302583946,11.945600297620112,6.2
3.8358905937291525,188.20063142483457,185.02445299143653,373.2250844162711,12.469479691475929,6.2
4.0026684456304205,187.69731440170014,184.39313980413007,372.09045420583016,12.991739598397674,6.2
4.169446297531688,187.1953464069783,183.763984878597,370.9593312855753,13.512385131729484,6.2
4.336224149432955,186.6947238062896,183.13698080519623,369.8317046114858,14.031421374932975,6.2
4.503002001334223,186.19544297994,182.51212021265394,368.70756319259397,14.548853387050146,6.2
4.66977985323549,185.6975003199371,181.88939576011276,367.5868960800499,15.064686207736376,6.2
4.836557705136758,185.2008922299902,181.26880013713176,366.469692367122,15.578924857260457,6.2
5.003335557038025,184.70561511873245,180.65032604560744,365.35594116433987,16.091574347945993,6.2
5.170113408939293,184.2116653919424,180.03396617902604,364.24563157096844,16.602639697301683,6.2
