truth,seed,system,window,offset_min,verdict,correct,unique
heater_clog,2,ethanol,300,300,agitation_aer_clog,False,False
heater_clog,2,ethanol,end,370,agitation_aer_clog,False,False
heater_clog,2,probes,0,0,heater_off,False,False
heater_clog,2,probes,30,30,heater_clog,True,True
heater_clog,2,probes,60,60,heater_clog,True,True
heater_clog,2,probes,120,120,heater_clog,True,True
heater_clog,2,probes,180,180,heater_clog,True,True
heater_clog,2,probes,300,300,heater_clog,True,True
heater_clog,2,probes,end,475,heater_clog,True,True
heater_clog,3,ethanol,0,0,agitation_aer_clog,False,False
heater_clog,3,ethanol,30,30,agitation_aer_clog,False,False
heater_clog,3,ethanol,60,60,agitation_aer_clog,False,False
heater_clog,3,ethanol,120,120,agitation_aer_clog,False,False
heater_clog,3,ethanol,180,180,agitation_aer_clog,False,False
heater_clog,3,ethanol,300,300,agitation_aer_clog,False,False
heater_clog,3,ethanol,end,355,agitation_aer_clog,False,False
heater_clog,3,probes,0,0,heater_off,False,False
heater_clog,3,probes,30,30,heater_clog,True,True
heater_clog,3,probes,60,60,heater_clog,True,True
heater_clog,3,probes,120,120,heater_clog,True,True
heater_clog,3,probes,180,180,heater_clog,True,True
heater_clog,3,probes,300,300,heater_clog,True,True
heater_clog,3,probes,end,475,heater_clog,True,True
heater_clog,4,ethanol,0,0,agitation_aer_clog,False,False
heater_clog,4,ethanol,30,30,agitation_aer_clog,False,False
heater_clog,4,ethanol,60,60,agitation_aer_clog,False,False
heater_clog,4,ethanol,120,120,agitation_aer_clog,False,False
heater_clog,4,ethanol,180,180,agitation_aer_clog,False,False
heater_clog,4,ethanol,300,300,agitation_aer_clog,False,False
heater_clog,4,ethanol,end,360,agitation_aer_clog,False,False
heater_clog,4,probes,0,0,heater_off,False,False
heater_clog,4,probes,30,30,heater_clog,True,True
heater_clog,4,probes,60,60,heater_clog,True,True
heater_clog,4,probes,120,120,heater_clog,True,True
heater_clog,4,probes,180,180,heater_clog,True,True
heater_clog,4,probes,300,300,heater_clog,True,True
heater_clog,4,probes,end,475,heater_clog,True,True
acid_pump_stuck,0,ethanol,0,0,agitation_aer_clog,False,False
acid_pump_stuck,0,ethanol,30,30,acid_pump_stuck,True,False
acid_pump_stuck,0,ethanol,60,60,acid_pump_stuck,True,False
acid_pump_stuck,0,ethanol,120,120,acid_pump_stuck,True,False
acid_pump_stuck,0,ethanol,180,180,acid_pump_stuck,True,False
acid_pump_stuck,0,ethanol,300,300,acid_pump_stuck,True,False
acid_pump_stuck,0,ethanol,end,390,acid_pump_stuck,True,False
acid_pump_stuck,0,probes,0,0,acid_pump_stuck,True,True
acid_pump_stuck,0,probes,30,30,acid_pump_stuck,True,True
acid_pump_stuck,0,probes,60,60,acid_pump_stuck,True,True
acid_pump_stuck,0,probes,120,120,acid_pump_stuck,True,True
acid_pump_stuck,0,probes,180,180,acid_pump_stuck,True,True
acid_pump_stuck,0,probes,300,300,acid_pump_stuck,True,True
acid_pump_stuck,0,probes,end,475,acid_pump_stuck,True,True
acid_pump_stuck,1,ethanol,0,0,agitation_aer_clog,False,False
acid_pump_stuck,1,ethanol,30,30,agitation_aer_clog,False,False
acid_pump_stuck,1,ethanol,60,60,acid_pump_stuck,True,False
acid_pump_stuck,1,ethanol,120,120,acid_pump_stuck,True,False
acid_pump_stuck,1,ethanol,180,180,acid_pump_stuck,True,False
acid_pump_stuck,1,ethanol,300,300,acid_pump_stuck,True,False
acid_pump_stuck,1,ethanol,end,390,acid_pump_stuck,True,False
acid_pump_stuck,1,probes,0,0,acid_pump_stuck,True,True
acid_pump_stuck,1,probes,30,30,acid_pump_stuck,True,True
acid_pump_stuck,1,probes,60,60,acid_pump_stuck,True,True
acid_pump_stuck,1,probes,120,120,acid_pump_stuck,True,True
acid_pump_stuck,1,probes,180,180,acid_pump_stuck,True,True
acid_pump_stuck,1,probes,300,300,acid_pump_stuck,True,True
acid_pump_stuck,1,probes,end,475,acid_pump_stuck,True,True
acid_pump_stuck,2,ethanol,0,0,agitation_aer_clog,False,False
acid_pump_stuck,2,ethanol,30,30,agitation_aer_clog,False,False
acid_pump_stuck,2,ethanol,60,60,agitation_aer_clog,False,False
acid_pump_stuck,2,ethanol,120,120,acid_pump_stuck,True,False
acid_pump_stuck,2,ethanol,180,180,acid_pump_stuck,True,False
acid_pump_stuck,2,ethanol,300,300,acid_pump_stuck,True,False
acid_pump_stuck,2,ethanol,end,395,acid_pump_stuck,True,False
acid_pump_stuck,2,probes,0,0,acid_pump_stuck,True,True
acid_pump_stuck,2,probes,30,30,acid_pump_stuck,True,True
acid_pump_stuck,2,probes,60,60,acid_pump_stuck,True,True
acid_pump_stuck,2,probes,120,120,acid_pump_stuck,True,True
acid_pump_stuck,2,probes,180,180,acid_pump_stuck,True,True
acid_pump_stuck,2,probes,300,300,acid_pump_stuck,True,True
acid_pump_stuck,2,probes,end,475,acid_pump_stuck,True,True
acid_pump_stuck,3,ethanol,0,0,agitation_aer_clog,False,False
acid_pump_stuck,3,ethanol,30,30,acid_pump_stuck,True,False
acid_pump_stuck,3,ethanol,60,60,acid_pump_stuck,True,False
acid_pump_stuck,3,ethanol,120,120,acid_pump_stuck,True,False
acid_pump_stuck,3,ethanol,180,180,acid_pump_stuck,True,False
acid_pump_stuck,3,ethanol,300,300,acid_pump_stuck,True,False
acid_pump_stuck,3,ethanol,end,375,acid_pump_stuck,True,False
acid_pump_stuck,3,probes,0,0,acid_pump_stuck,True,True
acid_pump_stuck,3,probes,30,30,acid_pump_stuck,True,True
acid_pump_stuck,3,probes,60,60,acid_pump_stuck,True,True
acid_pump_stuck,3,probes,120,120,acid_pump_stuck,True,True
acid_pump_stuck,3,probes,180,180,acid_pump_stuck,True,True
acid_pump_stuck,3,probes,300,300,acid_pump_stuck,True,True
acid_pump_stuck,3,probes,end,475,acid_pump_stuck,True,True
acid_pump_stuck,4,ethanol,0,0,acid_pump_stuck,True,False
acid_pump_stuck,4,ethanol,30,30,acid_pump_stuck,True,False
acid_pump_stuck,4,ethanol,60,60,acid_pump_stuck,True,False
acid_pump_stuck,4,ethanol,120,120,acid_pump_stuck,True,False
acid_pump_stuck,4,ethanol,180,180,acid_pump_stuck,True,False
acid_pump_stuck,4,ethanol,300,300,acid_pump_stuck,True,False
acid_pump_stuck,4,ethanol,end,395,acid_pump_stuck,True,False
acid_pump_stuck,4,probes,0,0,acid_pump_stuck,True,True
acid_pump_stuck,4,probes,30,30,acid_pump_stuck,True,True
acid_pump_stuck,4,probes,60,60,acid_pump_stuck,True,True
acid_pump_stuck,4,probes,120,120,acid_pump_stuck,True,True
acid_pump_stuck,4,probes,180,180,acid_pump_stuck,True,True
acid_pump_stuck,4,probes,300,300,acid_pump_stuck,True,True
acid_pump_stuck,4,probes,end,475,acid_pump_stuck,True,True
base_pump_off,0,probes,0,0,base_pump_off,True,True
base_pump_off,0,probes,30,30,base_pump_off,True,True
base_pump_off,0,probes,60,60,base_pump_off,True,True
base_pump_off,0,probes,120,120,base_pump_off,True,True
base_pump_off,0,probes,180,180,base_pump_off,True,True
base_pump_off,0,probes,300,300,base_pump_off,True,True
base_pump_off,0,probes,end,430,base_pump_off,True,True
base_pump_off,1,probes,0,0,base_pump_off,True,True
base_pump_off,1,probes,30,30,base_pump_off,True,True
base_pump_off,1,probes,60,60,base_pump_off,True,True
base_pump_off,1,probes,120,120,base_pump_off,True,True
base_pump_off,1,probes,180,180,base_pump_off,True,True
base_pump_off,1,probes,300,300,base_pump_off,True,True
base_pump_off,1,probes,end,430,base_pump_off,True,True
base_pump_off,2,probes,0,0,base_pump_off,True,True
base_pump_off,2,probes,30,30,base_pump_off,True,True
base_pump_off,2,probes,60,60,base_pump_off,True,True
base_pump_off,2,probes,120,120,base_pump_off,True,True
base_pump_off,2,probes,180,180,base_pump_off,True,True
base_pump_off,2,probes,300,300,base_pump_off,True,True
base_pump_off,2,probes,end,430,base_pump_off,True,True
base_pump_off,3,probes,0,0,base_pump_off,True,True
base_pump_off,3,probes,30,30,base_pump_off,True,True
base_pump_off,3,probes,60,60,base_pump_off,True,True
base_pump_off,3,probes,120,120,base_pump_off,True,True
base_pump_off,3,probes,180,180,base_pump_off,True,True
base_pump_off,3,probes,300,300,base_pump_off,True,True
base_pump_off,3,probes,end,430,base_pump_off,True,True
base_pump_off,4,probes,0,0,base_pump_off,True,True
base_pump_off,4,probes,30,30,base_pump_off,True,True
base_pump_off,4,probes,60,60,base_pump_off,True,True
base_pump_off,4,probes,120,120,base_pump_off,True,True
base_pump_off,4,probes,180,180,base_pump_off,True,True
base_pump_off,4,probes,300,300,base_pump_off,True,True
base_pump_off,4,probes,end,425,base_pump_off,True,True
base_pump_stuck,0,ethanol,0,0,agitation_aer_clog,False,False
base_pump_stuck,0,ethanol,30,30,base_pump_stuck,True,False
base_pump_stuck,0,ethanol,60,60,base_pump_stuck,True,False
base_pump_stuck,0,ethanol,120,120,base_pump_stuck,True,False
base_pump_stuck,0,ethanol,180,180,base_pump_stuck,True,False
base_pump_stuck,0,ethanol,300,300,base_pump_stuck,True,False
base_pump_stuck,0,ethanol,end,405,base_pump_stuck,True,False
base_pump_stuck,0,probes,0,0,base_pump_stuck,True,True
base_pump_stuck,0,probes,30,30,base_pump_stuck,True,True
base_pump_stuck,0,probes,60,60,base_pump_stuck,True,True
base_pump_stuck,0,probes,120,120,base_pump_stuck,True,True
base_pump_stuck,0,probes,180,180,base_pump_stuck,True,True
base_pump_stuck,0,probes,300,300,base_pump_stuck,True,True
base_pump_stuck,0,probes,end,475,base_pump_stuck,True,True
base_pump_stuck,1,ethanol,0,0,base_pump_stuck,True,False
base_pump_stuck,1,ethanol,30,30,acid_pump_stuck,False,False
base_pump_stuck,1,ethanol,60,60,acid_pump_stuck,False,False
base_pump_stuck,1,ethanol,120,120,acid_pump_stuck,False,False
base_pump_stuck,1,ethanol,180,180,base_pump_stuck,True,False
base_pump_stuck,1,ethanol,300,300,base_pump_stuck,True,False
base_pump_stuck,1,ethanol,end,420,base_pump_stuck,True,False
base_pump_stuck,1,probes,0,0,base_pump_stuck,True,True
base_pump_stuck,1,probes,30,30,base_pump_stuck,True,True
base_pump_stuck,1,probes,60,60,base_pump_stuck,True,True
base_pump_stuck,1,probes,120,120,base_pump_stuck,True,True
base_pump_stuck,1,probes,180,180,base_pump_stuck,True,True
base_pump_stuck,1,probes,300,300,base_pump_stuck,True,True
base_pump_stuck,1,probes,end,475,base_pump_stuck,True,True
base_pump_stuck,2,ethanol,0,0,base_pump_stuck,True,False
base_pump_stuck,2,ethanol,30,30,base_pump_stuck,True,False
base_pump_stuck,2,ethanol,60,60,acid_pump_stuck,False,False
base_pump_stuck,2,ethanol,120,120,acid_pump_stuck,False,False
base_pump_stuck,2,ethanol,180,180,base_pump_stuck,True,False
base_pump_stuck,2,ethanol,300,300,base_pump_stuck,True,False
base_pump_stuck,2,ethanol,end,415,base_pump_stuck,True,False
base_pump_stuck,2,probes,0,0,base_pump_stuck,True,True
base_pump_stuck,2,probes,30,30,base_pump_stuck,True,True
base_pump_stuck,2,probes,60,60,base_pump_stuck,True,True
base_pump_stuck,2,probes,120,120,base_pump_stuck,True,True
base_pump_stuck,2,probes,180,180,base_pump_stuck,True,True
base_pump_stuck,2,probes,300,300,base_pump_stuck,True,True
base_pump_stuck,2,probes,end,475,base_pump_stuck,True,True
base_pump_stuck,3,ethanol,0,0,acid_pump_stuck,False,False
base_pump_stuck,3,ethanol,30,30,acid_pump_stuck,False,False
base_pump_stuck,3,ethanol,60,60,acid_pump_stuck,False,False
base_pump_stuck,3,ethanol,120,120,acid_pump_stuck,False,False
base_pump_stuck,3,ethanol,180,180,base_pump_stuck,True,False
base_pump_stuck,3,ethanol,300,300,base_pump_stuck,True,False
base_pump_stuck,3,ethanol,end,395,base_pump_stuck,True,False
base_pump_stuck,3,probes,0,0,base_pump_stuck,True,True
base_pump_stuck,3,probes,30,30,base_pump_stuck,True,True
base_pump_stuck,3,probes,60,60,base_pump_stuck,True,True
base_pump_stuck,3,probes,120,120,base_pump_stuck,True,True
base_pump_stuck,3,probes,180,180,base_pump_stuck,True,True
base_pump_stuck,3,probes,300,300,base_pump_stuck,True,True
base_pump_stuck,3,probes,end,475,base_pump_stuck,True,True
base_pump_stuck,4,ethanol,0,0,acid_pump_stuck,False,False
base_pump_stuck,4,ethanol,30,30,acid_pump_stuck,False,False
base_pump_stuck,4,ethanol,60,60,acid_pump_stuck,False,False
base_pump_stuck,4,ethanol,120,120,acid_pump_stuck,False,False
base_pump_stuck,4,ethanol,180,180,acid_pump_stuck,False,False
base_pump_stuck,4,ethanol,300,300,base_pump_stuck,True,False
base_pump_stuck,4,ethanol,end,410,base_pump_stuck,True,False
base_pump_stuck,4,probes,0,0,acid_pump_off,False,False
base_pump_stuck,4,probes,30,30,base_pump_stuck,True,True
base_pump_stuck,4,probes,60,60,base_pump_stuck,True,True
base_pump_stuck,4,probes,120,120,base_pump_stuck,True,True
base_pump_stuck,4,probes,180,180,base_pump_stuck,True,True
base_pump_stuck,4,probes,300,300,base_pump_stuck,True,True
base_pump_stuck,4,probes,end,475,base_pump_stuck,True,True
agitation_aer_stop,0,ethanol,0,0,base_pump_stuck,False,False
agitation_aer_stop,0,ethanol,30,30,agitation_aer_stop,True,False
agitation_aer_stop,0,ethanol,60,60,agitation_aer_stop,True,True
agitation_aer_stop,0,ethanol,120,120,agitation_aer_stop,True,True
agitation_aer_stop,0,ethanol,180,180,agitation_aer_stop,True,True
agitation_aer_stop,0,ethanol,300,300,agitation_aer_stop,True,True
agitation_aer_stop,0,ethanol,end,415,agitation_aer_stop,True,True
agitation_aer_stop,0,probes,0,0,agitation_aer_stop,True,False
agitation_aer_stop,0,probes,30,30,agitation_aer_stop,True,True
agitation_aer_stop,0,probes,60,60,agitation_aer_stop,True,True
agitation_aer_stop,0,probes,120,120,agitation_aer_stop,True,True
agitation_aer_stop,0,probes,180,180,agitation_aer_stop,True,True
agitation_aer_stop,0,probes,300,300,agitation_aer_stop,True,True
agitation_aer_stop,0,probes,end,475,agitation_aer_stop,True,True
agitation_aer_stop,1,ethanol,0,0,base_pump_stuck,False,False
agitation_aer_stop,1,ethanol,30,30,agitation_aer_stop,True,False
agitation_aer_stop,1,ethanol,60,60,agitation_aer_stop,True,True
agitation_aer_stop,1,ethanol,120,120,agitation_aer_stop,True,True
agitation_aer_stop,1,ethanol,180,180,agitation_aer_stop,True,True
agitation_aer_stop,1,ethanol,300,300,agitation_aer_stop,True,True
agitation_aer_stop,1,ethanol,end,415,agitation_aer_stop,True,True
agitation_aer_stop,1,probes,0,0,agitation_aer_stop,True,False
agitation_aer_stop,1,probes,30,30,agitation_aer_stop,True,True
agitation_aer_stop,1,probes,60,60,agitation_aer_stop,True,True
agitation_aer_stop,1,probes,120,120,agitation_aer_stop,True,True
agitation_aer_stop,1,probes,180,180,agitation_aer_stop,True,True
agitation_aer_stop,1,probes,300,300,agitation_aer_stop,True,True
agitation_aer_stop,1,probes,end,475,agitation_aer_stop,True,True
agitation_aer_stop,2,ethanol,0,0,agitation_aer_stop,True,False
agitation_aer_stop,2,ethanol,30,30,agitation_aer_stop,True,False
agitation_aer_stop,2,ethanol,60,60,agitation_aer_stop,True,True
agitation_aer_stop,2,ethanol,120,120,agitation_aer_stop,True,True
agitation_aer_stop,2,ethanol,180,180,agitation_aer_stop,True,True
agitation_aer_stop,2,ethanol,300,300,agitation_aer_stop,True,True
agitation_aer_stop,2,ethanol,end,415,agitation_aer_stop,True,True
agitation_aer_stop,2,probes,0,0,agitation_aer_stop,True,False
agitation_aer_stop,2,probes,30,30,agitation_aer_stop,True,True
agitation_aer_stop,2,probes,60,60,agitation_aer_stop,True,True
agitation_aer_stop,2,probes,120,120,agitation_aer_stop,True,True
agitation_aer_stop,2,probes,180,180,agitation_aer_stop,True,True
agitation_aer_stop,2,probes,300,300,agitation_aer_stop,True,True
agitation_aer_stop,2,probes,end,475,agitation_aer_stop,True,True
agitation_aer_stop,3,ethanol,0,0,base_pump_stuck,False,False
agitation_aer_stop,3,ethanol,30,30,agitation_aer_stop,True,False
agitation_aer_stop,3,ethanol,60,60,agitation_aer_stop,True,True
agitation_aer_stop,3,ethanol,120,120,agitation_aer_stop,True,True
agitation_aer_stop,3,ethanol,180,180,agitation_aer_stop,True,True
agitation_aer_stop,3,ethanol,300,300,agitation_aer_stop,True,True
agitation_aer_stop,3,ethanol,end,410,agitation_aer_stop,True,True
agitation_aer_stop,3,probes,0,0,agitation_aer_stop,True,False
agitation_aer_stop,3,probes,30,30,agitation_aer_stop,True,True
agitation_aer_stop,3,probes,60,60,agitation_aer_stop,True,True
agitation_aer_stop,3,probes,120,120,agitation_aer_stop,True,True
agitation_aer_stop,3,probes,180,180,agitation_aer_stop,True,True
agitation_aer_stop,3,probes,300,300,agitation_aer_stop,True,True
agitation_aer_stop,3,probes,end,475,agitation_aer_stop,True,True
agitation_aer_stop,4,ethanol,0,0,agitation_aer_stop,True,False
agitation_aer_stop,4,ethanol,30,30,agitation_aer_stop,True,False
agitation_aer_stop,4,ethanol,60,60,agitation_aer_stop,True,True
agitation_aer_stop,4,ethanol,120,120,agitation_aer_stop,True,True
agitation_aer_stop,4,ethanol,180,180,agitation_aer_stop,True,True
agitation_aer_stop,4,ethanol,300,300,agitation_aer_stop,True,True
agitation_aer_stop,4,ethanol,end,415,agitation_aer_stop,True,True
agitation_aer_stop,4,probes,0,0,agitation_aer_stop,True,False
