truth,is_fault,seed,system,alarmed,channel,alarm_h,alarm_min,verdict,correct,unique,settle_min,total_min
base_pump_stuck,True,2,probes,True,pH,2.083333333333331,4.999999999999849,base_pump_stuck,True,True,0.0,4.999999999999849
base_pump_stuck,True,3,ethanol,True,E,3.4166666666666594,84.99999999999956,base_pump_stuck,True,False,180.0,264.99999999999955
base_pump_stuck,True,3,probes,True,pH,2.083333333333331,4.999999999999849,base_pump_stuck,True,True,0.0,4.999999999999849
base_pump_stuck,True,4,ethanol,True,E,3.1666666666666603,69.99999999999962,base_pump_stuck,True,False,300.0,369.9999999999996
base_pump_stuck,True,4,probes,True,pH,2.083333333333331,4.999999999999849,base_pump_stuck,True,True,30.0,34.99999999999985
agitation_aer_stop,True,0,ethanol,True,E,3.0833333333333273,64.99999999999963,agitation_aer_stop,True,True,30.0,94.99999999999963
agitation_aer_stop,True,0,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_stop,True,True,0.0,4.999999999999849
agitation_aer_stop,True,1,ethanol,True,E,3.0833333333333273,64.99999999999963,agitation_aer_stop,True,True,30.0,94.99999999999963
agitation_aer_stop,True,1,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_stop,True,True,0.0,4.999999999999849
agitation_aer_stop,True,2,ethanol,True,E,3.0833333333333273,64.99999999999963,agitation_aer_stop,True,True,0.0,64.99999999999963
agitation_aer_stop,True,2,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_stop,True,True,0.0,4.999999999999849
agitation_aer_stop,True,3,ethanol,True,E,3.1666666666666603,69.99999999999962,agitation_aer_stop,True,True,30.0,99.99999999999962
agitation_aer_stop,True,3,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_stop,True,True,0.0,4.999999999999849
agitation_aer_stop,True,4,ethanol,True,E,3.0833333333333273,64.99999999999963,agitation_aer_stop,True,True,0.0,64.99999999999963
agitation_aer_stop,True,4,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_stop,True,True,0.0,4.999999999999849
agitation_aer_clog,True,0,ethanol,True,E,4.083333333333324,124.99999999999945,agitation_aer_clog,True,False,0.0,124.99999999999945
agitation_aer_clog,True,0,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_clog,True,True,30.0,34.99999999999985
agitation_aer_clog,True,1,ethanol,True,E,4.416666666666656,144.99999999999937,agitation_aer_clog,True,False,0.0,144.99999999999937
agitation_aer_clog,True,1,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_clog,True,True,30.0,34.99999999999985
agitation_aer_clog,True,2,ethanol,True,E,4.499999999999989,149.99999999999937,agitation_aer_clog,True,False,0.0,149.99999999999937
agitation_aer_clog,True,2,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_clog,True,True,30.0,34.99999999999985
agitation_aer_clog,True,3,ethanol,True,E,4.416666666666656,144.99999999999937,agitation_aer_clog,True,False,0.0,144.99999999999937
agitation_aer_clog,True,3,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_clog,True,True,30.0,34.99999999999985
agitation_aer_clog,True,4,ethanol,True,E,4.583333333333322,154.99999999999935,agitation_aer_clog,True,False,0.0,154.99999999999935
agitation_aer_clog,True,4,probes,True,DO,2.083333333333331,4.999999999999849,agitation_aer_clog,True,True,30.0,34.99999999999985
healthy,False,100,ethanol,False,,,,,False,False,,
healthy,False,100,probes,False,,,,,False,False,,
healthy,False,101,ethanol,False,,,,,False,False,,
healthy,False,101,probes,False,,,,,False,False,,
healthy,False,102,ethanol,False,,,,,False,False,,
healthy,False,102,probes,False,,,,,False,False,,
healthy,False,103,ethanol,False,,,,,False,False,,
healthy,False,103,probes,False,,,,,False,False,,
healthy,False,104,ethanol,False,,,,,False,False,,
healthy,False,104,probes,False,,,,,False,False,,
healthy,False,105,ethanol,False,,,,,False,False,,
healthy,False,105,probes,False,,,,,False,False,,
healthy,False,106,ethanol,False,,,,,False,False,,
healthy,False,106,probes,False,,,,,False,False,,
healthy,False,107,ethanol,False,,,,,False,False,,
healthy,False,107,probes,False,,,,,False,False,,
