time_h,sugar_ref,oxygen_mgL,ethanol,glycerol,biomass,CER
0.0,29.999999999999996,7.5,0.0,0.0,0.5,0.6729522751991095
0.01000667111407605,29.986663116500225,6.741064245244615,0.004313228179126729,7.285568837538081e-06,0.5025427128342809,0.6756911612889341
0.0200133422281521,29.97326577712699,6.160770207574923,0.00864765095612587,1.5351013940009282e-05,0.5050962541958823,0.6784760928454528
0.030020013342228154,29.959807391485864,5.716358982150941,0.013003334525185362,2.4139952527215114e-05,0.5076607896142159,0.6813187690364136
0.0400266844563042,29.94628728962335,5.375267265682172,0.017380342590259935,3.358322885224049e-05,0.5102365117750409,0.6842256530916906
0.05003335557038025,29.932704765662017,5.112691197123207,0.021778738596457202,4.360631456057316e-05,0.5128236252592989,0.6871984003554742
0.06004002668445631,29.919059113789654,4.909757194716257,0.026198587495165963,5.4135378102214884e-05,0.5154223339880459,0.6902349694927903
0.07004669779853236,29.905349654492834,4.752106283805524,0.030639956975047376,6.51016835433367e-05,0.5180328320943095,0.6933309110715561
0.0800533689126084,29.891575750012723,4.628818680607377,0.03510291812651246,7.644415446340123e-05,0.5206552985708891,0.6964805416401217
0.09006004002668445,29.877736810949393,4.531595397699754,0.0395875456520864,8.811043593971242e-05,0.5232898950145431,0.6996778424748757
0.1000667111407605,29.86383229658653,4.454131944460216,0.0440939177625316,0.00010005689464066891,0.5259367655634815,0.7029170479368885
0.11007338225483655,29.849861711365353,4.391641142044107,0.04862211588716803,0.00011224797087656827,0.528596038176943,0.7061929735848154
0.12008005336891261,29.83582459943108,4.340488625536112,0.053172224298554414,0.0001246552096439988,0.5312678265834035,0.7095011529302624
0.13008672448298866,29.821720538501502,4.297918416117113,0.057744329716432966,0.0001372561830624046,0.5339522324599418,0.7128378590731201
0.1400933955970647,29.807549133909625,4.261838239781598,0.06233852093201928,0.00015003344754114368,0.5366493475459042,0.7162000453233737
0.15010006671114076,29.793310013310954,4.230661903991122,0.06695488847960122,0.0001629736197486785,0.539359255518462,0.7195852665412034
0.1601067378252168,29.77900282200637,4.203186522834172,0.07159352434850633,0.0001760665610493994,0.5420820336490938,0.7229915842574384
0.17011340893929286,29.764627219115464,4.178500231162493,0.07625452174809391,0.0001893047105297538,0.544817754158581,0.7264174775255173
0.1801200800533689,29.750182874429047,4.155911880880598,0.08093797491466531,0.00020268253648002553,0.5475664853314507,0.7298617627288699
0.19012675116744496,29.73566946588292,4.134897470377551,0.0856439789563014,0.00021619609607608298,0.550328292410475,0.7333235246572235
0.200133422281521,29.721086677575684,4.115060001506053,0.09037262973093681,0.00022984268977580265,0.5531032382986616,0.7368020605418096
0.21014009339559706,29.706434198185484,4.0960985638702,0.09512402374861953,0.00024362058512387953,0.5558913841200703,0.7402968336175849
0.2201467645096731,29.691711719750952,4.077785176637507,0.09989825809602067,0.000257528803975175,0.5586927896517278,0.7438074366475516
0.23015343562374915,29.676918936713985,4.059947050697931,0.10469543037688082,0.00027156695527729525,0.5615075136629145,0.7473335626702897
0.24016010673782523,29.662055545190988,4.042453412762672,0.10951563866643439,0.00028573510767068266,0.5643356141735292,0.7508749826769053
0.2501667778519013,29.647121242388817,4.0252050413554805,0.11435898147472567,0.0003000336872928127,0.5671771486612546,0.7544315270788876
0.2601734489659773,29.63211572617443,4.00812673080014,0.11922555771935146,0.0003144634023744476,0.5700321742142862,0.7580030722296577
0.2701801200800534,29.617038694745574,3.9911615567252996,0.12411546670450642,0.00032902518549884235,0.5729007476482282,0.7615895299430333
0.2801867911941294,29.601889846373584,3.9742664767403206,0.12902880810443906,0.00034372014840584143,0.5757829255974954,0.7651908392750632
0.2901934623082055,29.586668879193546,3.957408790063793,0.13396568194980094,0.0003585495450613413,0.5786787645899211,0.7688069596712465
0.3002001334222815,29.571375491064234,3.94056375089937,0.1389261886184237,0.0003735147469433368,0.5815883210966158,0.772437866412241
0.31020680453635757,29.556009379448973,3.923712553304184,0.1439104288273999,0.00038861722199003655,0.5845116515743998,0.7760835465936669
0.3202134756504336,29.540570241334645,3.9068409560868704,0.1489185036275195,0.0004038585202034027,0.5874488124947213,0.7797439964148942
0.33022014676450967,29.525057773176325,3.889938358282806,0.1539505143993561,0.0004192402637469532,0.5903998603634925,0.7834192194150426
0.3402268178785857,29.509471670823817,3.8729965675837357,0.15900656284809342,0.00043476413383710364,0.5933648517473554,0.787109223722089
0.35023348899266177,29.493811629493496,3.856009287113678,0.16408675100125836,0.00045043186557399795,0.5963438432838882,0.7908140210167178
0.3602401601067378,29.478077343754197,3.8389718104818686,0.16919118120745352,0.00046624524528984855,0.5993368916867695,0.794533625975537
0.37024683122081387,29.46226850742756,3.821880687739425,0.17431995616978746,0.00048220611115616305,0.6023440537642641,0.7982680555958106
0.3802535023348899,29.446384813796787,3.804733143877001,0.17947317884030334,0.0004983163357277689,0.605365386395565,0.8020173277000121
0.39026017344896596,29.43042595528916,3.787527148634958,0.1846509525592836,0.0005145778428032229,0.6084009465757874,0.805781461285271
0.400266844563042,29.41439162388747,3.770260980885408,0.1898533808677113,0.0005309925823714372,0.611450791360632,0.8095604752906175
0.41027351567711806,29.398281510574677,3.752933634354866,0.19508056776116492,0.0005475625647519263,0.6145149779407552,0.8133543899249424
0.4202801867911941,29.38209530584804,3.7355442081068446,0.2003326174508177,0.0005642898271860623,0.6175935635745785,0.8171632248652542
0.43028685790527016,29.365832699417044,3.7180920585371773,0.20560963449960762,0.0005811764515223351,0.6206866056295702,0.820986999768191
0.4402935290193462,29.34949338009637,3.70057668621624,0.2109117238712467,0.0005982245708158916,0.6237941615965389,0.8248257339657505
0.45030020013342226,29.33307703652484,3.682997625345736,0.2162389906089269,0.0006154363285148598,0.6269162889902175,0.8286794460069946
0.4603068712474983,29.31658335606026,3.6653546401624064,0.22159154033855427,0.0006328139454316238,0.6300530454981134,0.8325481544447442
0.47031354236157435,29.300012025927327,3.6476475071040144,0.2269694787472405,0.0006503596507209217,0.6332044888253927,0.8364318769754493
0.48032021347565046,29.283362732108856,3.6298761096091496,0.23237291209377348,0.0006680757515991712,0.6363706768418308,0.8403306309033697
0.4903268845897265,29.2666351604976,3.6120403317389522,0.23780194667958965,0.0006859645614857449,0.639551667428629,0.8442444326080015
0.5003335557038026,29.249828995727796,3.5941401136161844,0.2432566893949372,0.0007040284772044594,0.6427475186297665,0.8481732978852243
0.5103402268178786,29.232943922379278,3.576175396720266,0.24873724715751816,0.0007222699000901369,0.6459582884954125,0.8521172415664668
0.5203468979319547,29.215979623779006,3.558146176416787,0.2542437274843156,0.0007406913204583712,0.6491840352322025,0.8560762778513957
0.5303535690460307,29.198935783211528,3.540052447330385,0.25977623791520943,0.0007592952328190574,0.6524248170509636,0.8600504199273661
0.5403602401601068,29.18181208273243,3.5218942431465363,0.2653348865915916,0.000778084225161612,0.6556806923102031,0.8640396802506493
0.5503669112741828,29.16460820437083,3.5036715953964297,0.27091978167122555,0.0007970608890411849,0.6589517193701526,0.8680440702132456
0.5603735823882589,29.147323828948924,3.485384561183778,0.2765310319173544,0.0008162279145126511,0.6622379567298047,0.8720636003727417
0.5703802535023349,29.129958637266412,3.4670331971189614,0.28216874610911646,0.0008355879955581594,0.6655394628887809,0.8760982801772383
0.580386924616411,29.11251230895789,3.448617581693363,0.28783303362673057,0.0008551439287762655,0.6688562964736041,0.8801481181623159
0.590393595730487,29.094984523475773,3.4301377951822953,0.29352400395385364,0.0008748985310991128,0.6721885161266302,0.884213121725337
0.600400266844563,29.07737495894156,3.411593938638008,0.2992417672852668,0.0008948547477999426,0.6755361806247736,0.8882932972991308
