time_h,T,pH,DO,G,E,X,mu_G,mu_E
4.373888888889384,27.896141752003434,4.516205543921691,6.7,1.369717464802264e-39,0.20426522595962748,3.8931659528373572,2.015986792027287e-39,0.05269841285491522
4.37444444444494,27.89613664350761,4.516159961113269,6.7,1.3409545875750507e-39,0.20400020963159185,3.8932799098584123,1.9736478027960312e-39,0.05267578830144322
4.375000000000496,27.896131527217857,4.516114396558339,6.7,1.3127949612694928e-39,0.20373529942851185,3.893393821245737,1.932196905433674e-39,0.052653133653388126
4.375555555556051,27.89612640312308,4.516068850284638,6.7,1.2852259497296502e-39,0.20347049551164761,3.8935076869299885,1.8916154950629088e-39,0.05263044886931115
4.376111111111607,27.896121271212174,4.516023322319941,6.7,1.2582351811443788e-39,0.20320579804248182,3.89362150684173,1.851885356061835e-39,0.052607733907758504
4.3766666666671625,27.89611613147403,4.5159778126920616,6.7,1.2318105425246071e-39,0.20294120718271966,3.893735280911428,1.8129886539306094e-39,0.052584988727261896
4.377222222222718,27.896110983897536,4.515932321428852,6.7,1.2059401742958381e-39,0.20267672309428902,3.893849009069453,1.774907927327809e-39,0.05256221328633859
4.377777777778274,27.896105828471566,4.515886848558201,6.7,1.1806124650034778e-39,0.20241234593934057,3.893962691246081,1.737626080272986e-39,0.05253940754349204
4.3783333333338295,27.89610066518499,4.515841394108037,6.7,1.1558160461286364e-39,0.20214807588024775,3.894076327371491,1.7011263745119168e-39,0.052516571457212
4.378888888889385,27.896095494026667,4.5157959581063265,6.7,1.131539787012104e-39,0.2018839130796069,3.8941899173757664,1.6653924220411965e-39,0.052493704985974984
4.379444444444941,27.896090314985457,4.515750540581075,6.7,1.107772789884244e-39,0.2016198577002374,3.8943034611888954,1.630408177788825e-39,0.05247080808824459
4.380000000000496,27.89608512805021,4.515705141560325,6.7,1.0845043849985981e-39,0.20135590990518168,3.8944169587407695,1.5961579324475464e-39,0.052447880722471786
4.380555555556052,27.896079933209766,4.5156597610721585,6.7,1.0617241258670408e-39,0.20109206985770522,3.8945304099611846,1.5626263054577642e-39,0.05242492284709533
4.381111111111608,27.896074730452963,4.515614399144696,6.7,1.0394217845943699e-39,0.20082833772129682,3.8946438147798403,1.5297982381369027e-39,0.05240193442054215
4.381666666667163,27.89606951976863,4.515569055806096,6.7,1.0175873473102567e-39,0.20056471365966852,3.8947571731263406,1.4976589869521694e-39,0.052378915401227494
4.382222222222719,27.896064301145593,4.515523731084555,6.7,9.96211009696531e-40,0.20030119783675565,3.894870484930193,1.4661941169337308e-39,0.05235586574755562
4.382777777778275,27.896059074572666,4.5154784250083075,6.7,9.752831726078103e-40,0.20003779041671702,3.8949837501208098,1.4353894952253685e-39,0.05233278541791985
4.38333333333383,27.89605384003866,4.515433137605629,6.7,9.54794437783531e-40,0.1997744915639349,3.895096968627506,1.4052312847697584e-39,0.052309674370703094
4.383888888889386,27.89604859753238,4.51538786890483,6.7,9.347356036494745e-40,0.1995113014430151,3.8952101403795014,1.3757059381255565e-39,0.052286532564278114
4.3844444444449415,27.896043347042628,4.515342618934263,6.7,9.150976612069234e-40,0.199248220218787,3.8953232653059193,1.3468001914135554e-39,0.052263359957008024
4.385000000000497,27.896038088558193,4.515297387722316,6.7,8.958717900076219e-40,0.1989852480563037,3.895436343335787,1.3185010583892106e-39,0.05224015650724654
4.385555555556053,27.89603282206786,4.515252175297417,6.7,8.770493542127504e-40,0.19872238512084195,3.8955493743980356,1.2907958246389081e-39,0.05221692217333839
4.3861111111116085,27.896027547560408,4.515206981688031,6.7,8.586218987341656e-40,0.19845963157790233,3.8956623584214998,1.2636720418973932e-39,0.052193656913619726
4.386666666667164,27.896022265024616,4.515161806922664,6.7,8.405811454561879e-40,0.19819698759320922,3.895775295334918,1.2371175224838323e-39,0.05217036068641844
4.38722222222272,27.896016974449253,4.515116651029858,6.7,8.229189895362603e-40,0.1979344533327109,3.8958881850669322,1.211120333854034e-39,0.052147033450054565
4.387777777778275,27.89601167582308,4.515071514038196,6.7,8.056274957828328e-40,0.19767202896257952,3.8960010275460886,1.1856687932664155e-39,0.05212367516284068
4.388333333333831,27.896006369134852,4.515026395976297,6.7,7.886988951088616e-40,0.19740971464921128,3.896113822700837,1.1607514625593264e-39,0.05210028578308227
4.388888888889387,27.896001054373325,4.514981296872819,6.7,7.72125581059349e-40,0.19714751055922636,3.8962265704595302,1.1363571430374284e-39,0.052076865269078114
4.389444444444942,27.895995731527247,4.514936216756461,6.7,7.559001064113794e-40,0.196885416859469,3.896339270750426,1.1124748704648422e-39,0.05205341357912076
4.390000000000498,27.895990400585355,4.514891155655958,6.7,7.40015179845138e-40,0.19662343371700758,3.8964519235016843,1.089093910162836e-39,0.0520299306714967
