time_h,X,G,E,T,pH,DO
0.0,2.5,5.0,0.0,30.0,5.0,100.0
0.0005555555555555556,2.500204257634176,4.998638316003861,0.0004629608499545002,29.950152791143786,4.99991829694633,99.89527032703694
0.0011111111111111111,2.5004085296876064,4.997276602884038,0.0009259082282354777,29.90149261250245,4.999837984221394,99.79310894359143
0.0016666666666666666,2.5006128103726626,4.995914899243024,0.0013888290036129533,29.853991181441334,4.99975904199893,99.69345565322324
0.0022222222222222222,2.500817094398446,4.994553240619692,0.0018517110000028753,29.80762089021631,4.999681450565268,99.59625148528364
0.002777777777777778,2.501021376937213,4.993191659681502,0.0023145429421539913,29.762354789807702,4.999605190331226,99.5014386819824
0.0033333333333333335,2.5012256535929507,4.991830186405147,0.0027773144042911166,29.71816657414525,4.999530241842947,99.4089606846694
0.003888888888888889,2.501429920371966,4.990468848246351,0.0032400157615466068,29.675030564714426,4.999456585791731,99.31876211942048
0.0044444444444444444,2.5016341736553653,4.989107670299478,0.0037026381440226908,29.632921695534677,4.999384203022957,99.23078878201086
0.005,2.501838410173295,4.98774667544757,0.004165173393337317,29.591815498500374,4.999313074544127,99.14498762235252
0.005555555555555556,2.50204262698084,4.986385884503407,0.004627614021515384,29.551688089075526,4.999243181532122,99.06130672846686
0.006111111111111111,2.5022468214354663,4.98502531634211,0.0050899531720957625,29.51251615233352,4.9991745053397,98.97969531005802
0.006666666666666667,2.5024509911759165,4.98366498802583,0.005552184583332412,29.47427692933342,4.999107027501311,98.9001036817471
0.007222222222222223,2.5026551341024588,4.982304914920967,0.006014302553375203,29.4369482038245,4.999040729738256,98.82248324602322
0.007777777777777778,2.502859248358408,4.980945110808385,0.006476301907322883,29.400508289271002,4.998975593963257,98.74678647596262
0.008333333333333333,2.503063332312836,4.97958558798705,0.0069381779660469215,29.364936016189233,4.998911602284457,98.6729668977628
0.008888888888888889,2.503267384544396,4.978226357371463,0.007399926516690892,29.330210719789367,4.998848737008912,98.6009790731353
0.009444444444444445,2.5034714038261896,4.976867428583275,0.007861543784755507,29.296312227914456,4.998786980645602,98.53077858159669
0.01,2.503675389111611,4.975508810037425,0.008323026407684588,29.26322084926946,4.998726315907986,98.46232200269431
0.010555555555555556,2.5038793395211054,4.9741505090231275,0.008784371409872009,29.230917361933123,4.9986667257161566,98.39556689820022
0.011111111111111112,2.5040832543297857,4.97279253178001,0.00924557617901417,29.19938300214588,4.998608193198601,98.33047179430373
0.011666666666666667,2.5042871329558496,4.971434883569698,0.00970663844373674,29.168599453366987,4.998550701693612,98.26699616383056
0.012222222222222223,2.5044909749497495,4.970077568743102,0.010167556252428362,29.138548835594403,4.99849423475037,98.20510040851379
0.012777777777777779,2.5046947799840678,4.968720590803678,0.010628327953217678,29.109213694940962,4.998438776129717,98.14474584134007
0.013333333333333334,2.504898547844048,4.967363952466875,0.01108895217503356,29.08057699346064,4.998384309804652,98.08589466899168
0.01388888888888889,2.505102278418749,4.966007655716019,0.011549427809691638,29.052622099218837,4.998330819960569,98.02850997440368
0.014444444444444446,2.5053059716927724,4.964651701854824,0.01200975399495332,29.025332776600766,4.998278290995249,97.97255569945325
0.015000000000000001,2.5055096277385376,4.963296091556738,0.012469930098506388,28.99869317685214,4.998226707518638,97.91799662779677
0.015555555555555557,2.505713246709062,4.9619408249112995,0.012929955702818956,28.97268782884656,4.998176054352415,97.86479836786835
0.01611111111111111,2.505916828831218,4.960585901467692,0.013389830590821161,28.94730163007411,4.998126316529377,97.81292733605254
0.016666666666666666,2.506120374399435,4.959231320275647,0.013849554732371368,28.922519837845808,4.99807747929265,97.7623507400421
0.017222222222222222,2.5063238837698227,4.957877079923864,0.014309128271465958,28.89832806070866,4.998029528094744,97.71303656239068
0.017777777777777778,2.5065273573546816,4.956523178576076,0.01476855151415391,28.87471225006628,4.997982448596457,97.66495354426937
0.018333333333333333,2.506730795617385,4.955169614004912,0.015227824917119444,28.85165869200009,4.997936226665661,97.6180711694343
0.01888888888888889,2.506934199067602,4.9538163836236775,0.015686949076897896,28.829153999286213,4.997890848375946,97.57235964841243
0.019444444444444445,2.507137568256844,4.952463484516172,0.016145924719691812,28.807185103603434,4.997846300005176,97.52778990291087
0.02,2.5073409037743115,4.951110913464668,0.016604752691755983,28.785739247927527,4.997802568033928,97.48433355045486
0.020555555555555556,2.5075442062430287,4.949758666976146,0.017063433950321772,28.7648039791075,4.997759639143851,97.44196288925846
0.021111111111111112,2.507747476316236,4.948406741306892,0.01752196955503256,28.744367140619396,4.997717500215935,97.40065088333127
0.021666666666666667,2.5079507146740387,4.947055132485555,0.017980360659863706,28.724416865493307,4.997676138328714,97.36037114782411
0.022222222222222223,2.5081539220202824,4.945703836334752,0.01843860850550166,28.70494156940952,4.997635540756397,97.32109793461572
0.02277777777777778,2.50835709907965,4.9443528484913015,0.018896714412158306,28.685929943959643,4.997595694966941,97.282806118142
0.023333333333333334,2.5085602465949624,4.943002164425173,0.019354679772797725,28.667370950068804,4.997556588620074,97.24547118146903
0.02388888888888889,2.50876336532467,4.9416517794572155,0.01981250604675382,28.64925381157502,4.997518209565266,97.20906920261034
0.024444444444444446,2.508966456040526,4.940301688775748,0.020270194753718346,28.631568008961956,4.9974805458396645,97.1735768410888
0.025,2.5091695195254227,4.938951887452075,0.020727747468079864,28.614303273241422,4.997443585665992,97.13897132474278
0.025555555555555557,2.5093725565713916,4.937602370454977,0.021185165813595263,28.597449579981973,4.997407317450412,97.10523043677603
0.026111111111111113,2.509575567977746,4.936253132664261,0.021642451458376292,28.58099714348012,4.997371729780369,97.07233250305052
0.02666666666666667,2.5097785545493645,4.934904168883397,0.02209960611017458,28.564936411070743,4.997336811422408,97.04025637962101
0.027222222222222224,2.509981517095103,4.933555473851319,0.022556631511949345,28.54925805757335,4.997302551319977,97.00898144050991
0.02777777777777778,2.510184456426326,4.932207042253422,0.02301352943770289,28.53395297987092,4.997268938591209,96.97848756572064
0.028333333333333335,2.5103873733555546,4.930858868731809,0.02347030168856971,28.51901229161817,4.997235962526701,96.94875512948781
0.02888888888888889,2.510590268695219,4.929510947894834,0.023926950089145742,28.50442731807613,4.9972036125872785,96.91976498876193
0.029444444444444447,2.5107931432565076,4.928163274325978,0.024383476484045014,28.490189591069985,4.99717187840176,96.89149847192648
0.030000000000000002,2.510995997848314,4.926815842592095,0.024839882734671585,28.47629084406728,4.997140749764717,96.86393736774482
0.030555555555555558,2.5111988332762674,4.925468647251082,0.02529617071619526,28.462723007373544,4.9971102166342325,96.83706391453441
0.031111111111111114,2.5114016503418437,4.924121682858974,0.02575234231472021,28.449478203442556,4.997080269129666,96.81086078956567
0.03166666666666667,2.5116044498415566,4.922774943976541,0.02620839942463612,28.43654874229851,4.997050897529418,96.78531109868253
0.03222222222222222,2.5118072325662153,4.921428425175373,0.026664343946142068,28.423927117067375,4.9970220922687085,96.760398366142
0.032777777777777774,2.51200999930025,4.920082121043519,0.027120177782933783,28.41160599961487,4.996993843937356,96.73610652466945
0.033333333333333326,2.5122127508211007,4.918736026190687,0.02757590284004549,28.399578236288473,4.99696614327757,96.7124199057268
0.03388888888888888,2.512415487898663,4.917390135253034,0.02803152102183792,28.387836843760994,4.9969389811817555,96.68932322999032
0.03444444444444443,2.5126182112947864,4.916044442897577,0.02848703423012453,28.376375004973273,4.99691234869033,96.66680159803495
0.03499999999999998,2.5128209217628252,4.914698943826241,0.02894244436242837,28.365186065173646,4.996886236989554,96.64484048122188
0.035555555555555535,2.5130236200472367,4.9133536327795735,0.02939775331036247,28.35426352805184,4.9968606374093785,96.62342571278609
0.03611111111111109,2.5132263068832197,4.912008504540135,0.029852962958126904,28.343601051965052,4.996835541421305,96.60254347912064
0.03666666666666664,2.5134289829963987,4.9106635539355965,0.030308075181116088,28.33319244625404,4.996810940636268,96.58218031125432
0.03722222222222219,2.5136316491025426,4.909318775841555,0.030763091844630237,28.323031667647005,4.996786826802532,96.5623230765194
0.037777777777777743,2.51383430590732,4.90797416518409,0.03121801480268511,28.313112816749236,4.99676319180361,96.54295897040616
0.038333333333333296,2.5140369541060887,4.906629716942066,0.031672845896914596,28.30343013461643,4.996740027656196,96.52407550860076
0.03888888888888885,2.5142395943837132,4.905285426149216,0.03212758695556086,28.293977999409687,4.996717326508129,96.5056605192033
0.0394444444444444,2.514442227414413,4.903941287895996,0.03258223979254717,28.284750923130257,4.996695080636366,96.48770213512265
