time_h,biomass,sugar_ref,ethanol
0.0,0.49999999999999994,20.000000000000004,0.49999999999999994
0.016270337922403004,0.502388281856109,19.978944918528384,0.508421142642458
0.03254067584480601,0.5047876285751055,19.95766980313025,0.5169744653300107
0.04881101376720901,0.507198085772148,19.936172082759516,0.525661773759155
0.06508135168961202,0.5096196985858027,19.914449179745624,0.5344848802227125
0.08135168961201503,0.5120525122081213,19.892498497675064,0.5434456111237809
0.09762202753441802,0.5144965718921188,19.870317418572235,0.5525458091009567
0.11389236545682102,0.5169519229362127,19.847903303929566,0.5617873323171471
0.13016270337922403,0.5194186106970571,19.825253493436122,0.5711720553697881
0.14643304130162704,0.5218966805915186,19.80236530484043,0.5807018693859731
0.16270337922403005,0.524386178058681,19.779236039504383,0.5903786779527758
0.17897371714643304,0.5268871485806668,19.75586297926905,0.6002043994170851
0.19524405506883605,0.5293996376937906,19.73224338475216,0.6101809681357038
0.21151439299123906,0.5319236909539553,19.708374499131494,0.6203103317499236
0.22778473091364204,0.5344593539479671,19.684253547049202,0.6305944519678854
0.24405506883604505,0.5370066723073087,19.65987773327962,0.6410353055157199
0.26032540675844806,0.5395656916745776,19.635244246236446,0.6516348816194057
0.2765957446808511,0.5421364577088509,19.61035025739977,0.6623951824167543
0.2928660826032541,0.5447190161056844,19.585192919180614,0.6733182244929699
0.3091364205256571,0.5473134125687251,19.559769368167995,0.6844060365362352
0.3254067584480601,0.5499196928003023,19.534076726232794,0.6956606585395838
0.34167709637046306,0.5525379025149323,19.50811209890087,0.7070841429788858
0.3579474342928661,0.555168087430733,19.481872576594945,0.7186785539053944
0.3742177722152691,0.5578102932679804,19.45535523500362,0.7304459666708201
0.3904881101376721,0.5604645657350902,19.428557136372927,0.7423884670077872
0.4067584480600751,0.5631309505312057,19.401475329584795,0.7545081509571668
0.4230287859824781,0.5658094933476995,19.374106850317162,0.7668071247380192
0.43929912390488113,0.568500239854547,19.346448722298316,0.7792875038553324
0.4555694618272841,0.5712032356989336,19.31849795784506,0.7919514126950706
0.4718397997496871,0.5739185265002533,19.290251558845164,0.8048009837971899
0.4881101376720901,0.5766461578468476,19.261706516892648,0.8178383577681623
0.5043804755944932,0.5793861752906302,19.23285981428518,0.8310656825443249
0.5206508135168961,0.5821386243406276,19.20370842527638,0.8444851124653153
0.5369211514392991,0.5849035504606728,19.174249316131736,0.8580988082428987
0.5531914893617021,0.5876809990635814,19.144479446196865,0.8719089361721369
0.5694618272841051,0.5904710155040926,19.11439576932463,0.885917667073657
0.5857321652065082,0.5932736450763182,19.08399523399645,0.9001271762138959
0.6020025031289111,0.5960889330079179,19.053274784392595,0.9145396425145842
0.6182728410513142,0.598916924452721,19.022231361919104,0.929157247420081
0.6345431789737171,0.6017576644868856,18.99086190569952,0.9439821745402381
0.6508135168961202,0.6046111981029593,18.95916335368077,0.9590166088332547
0.6670838548185232,0.6074775702042199,18.927132643660784,0.9742627358467707
0.6833541927409261,0.6103568255983952,18.894766714491794,0.9897227408278644
0.6996245306633292,0.6132490089915771,18.862062507228835,1.0053988078737683
0.7158948685857321,0.6161541649830056,18.829016966022067,1.0212931192743036
0.7321652065081352,0.6190723380581523,18.795627039509125,1.0374078544800942
0.7484355444305382,0.6220035725823077,18.761889682058783,1.0537451891819651
0.7647058823529412,0.6249479127945341,18.72780185490493,1.0703072944724341
0.7809762202753442,0.6279054028009272,18.69336052748544,1.0870963358537566
