time_h,T,pH,DO,G,E,X,mu_G,mu_E
0.0,30.0,5.0,6.7,5.0,0.0,2.5,0.14705882352941177,0.0
0.016666666666666666,28.92252372718681,5.0,6.7,4.959219473421533,0.013853754267483896,2.5061220776375235,0.14599448169127469,0.00025810293675308864
0.03333333333333333,28.399587639240195,5.0,6.7,4.918697778453158,0.027589876724493475,2.5122180710306434,0.1447694767064879,0.0005940240944480936
0.05,28.145791061915318,5.0,6.7,4.878354396365682,0.04123277621044598,2.5183013340259937,0.14401290294578317,0.0009133657357297541
0.06666666666666667,28.022635276846774,5.0,6.7,4.838073209364154,0.054825594427299035,2.5243877097825997,0.14359960398321764,0.0011811178659206253
0.08333333333333333,27.962894914619632,5.0,6.7,4.797780893235682,0.0683982108342822,2.5304860687648505,0.14337865585352338,0.0013996013259678906
0.1,27.933937063862132,5.0,6.7,4.757437894412019,0.08196827486946286,2.5366005374812914,0.14325678387887877,0.001579697719105514
0.11666666666666667,27.91992073152377,5.0,6.7,4.717024017193448,0.09554582465456898,2.5427327815058365,0.1431841322896217,0.0017313999616969825
0.13333333333333333,27.91315622035281,5.0,6.7,4.676529165100909,0.10913663029901773,2.548883310268534,0.14313543378781157,0.0018620740451430308
0.15,27.909910869897207,5.0,6.7,4.63594831945279,0.12274414132793161,2.555052127007074,0.14309816958387492,0.0019768270829619485
0.16666666666666666,27.908372910545054,5.0,6.7,4.595278975048027,0.13637054293745812,2.561239034127668,0.14306619834621964,0.0020791827153926724
0.18333333333333332,27.907662965714174,5.0,6.7,4.554519863758194,0.15001731487862788,2.567443770957014,0.1430365180882805,0.002171623031917804
0.2,27.907354308293932,5.0,6.7,4.513670326700101,0.16368552640885445,2.573666072875623,0.1430076607680316,0.0022559526064564466
0.21666666666666667,27.90723986799275,5.0,6.7,4.472730006818836,0.17737599409828114,2.5799056945180006,0.14297890470761512,0.002333528714723337
0.23333333333333334,27.907219261327917,5.0,6.7,4.431698698979186,0.19108936835114546,2.5861624169713733,0.14294989089537594,0.0024054044897551937
0.25,27.907243802436945,5.0,6.7,4.390576276637647,0.20482618288401425,2.5924360482198034,0.14292043579038435,0.002472419047646386
0.26666666666666666,27.907289882354863,5.0,6.7,4.349362656189661,0.21858688438644774,2.59872642095045,0.14289044059434752,0.002535255438251692
0.2833333333333333,27.90734618713416,5.0,6.7,4.308057779788798,0.232371851192296,2.6050333896138707,0.1428598476521577,0.0025944790654871186
0.3,27.907407146476306,5.0,6.7,4.266661606604452,0.24618140601828883,2.611356827535897,0.14282861808487848,0.002650564657923791
