,label,detect_eth,detect_prb,settle_eth,settle_prb,total_eth,total_prb
heater_off,Heater dead,93.99999999999953,4.999999999999849,90.0,0.0,183.99999999999955,4.999999999999849
heater_clog,Heater underpowered (6 % left),115.99999999999946,4.999999999999849,60.0,0.0,175.99999999999946,4.999999999999849
acid_pump_off,Acid pump dead,,,,,,
acid_pump_stuck,Acid pump stuck ON,90.99999999999955,4.999999999999849,0.0,0.0,90.99999999999955,4.999999999999849
base_pump_off,Base pump dead,,50.99999999999968,,,,
base_pump_stuck,Base pump stuck ON,70.99999999999962,4.999999999999849,0.0,0.0,70.99999999999962,4.999999999999849
agitation_aer_stop,Agitation/aeration stopped,65.99999999999963,4.999999999999849,60.0,,125.99999999999963,
agitation_aer_clog,Agitation/aeration restricted (1 % kLa),79.99999999999959,4.999999999999849,0.0,0.0,79.99999999999959,4.999999999999849
