time_h,biomass_live,biomass_dead,sugar_ref,ethanol
0.0,5.0,0.0,99.99999999999999,0.0
0.0266844563042028,5.004915530153842,0.007208343841199656,99.57259859557873,0.1903448217221429
0.0533689126084056,5.009841609785577,0.014423778032225831,99.1445924501021,0.38096658873951295
0.0800533689126084,5.014778234964025,0.021646316848934356,98.71598115796297,0.5718654634634569
0.1067378252168112,5.019725401619011,0.028875976619619197,98.28676424149184,0.7630416383464987
0.133422281521014,5.024683105484024,0.0361127736896884,97.85694122871449,0.9544953030272932
0.1601067378252168,5.029651338499367,0.04335672251316583,97.4265118405569,1.1462265578967625
0.1867911941294196,5.034630093403064,0.05060783794184205,96.9954757573772,1.338235522115033
0.2134756504336224,5.039619363206886,0.05786613514769542,96.56383263876178,1.5305223241669323
0.2401601067378252,5.0446191360434,0.06513162925208373,96.13158230357844,1.723087015139095
0.266844563042028,5.049629400888518,0.07240433538511425,95.69872454316403,1.9159296594960278
0.2935290193462308,5.054650147297183,0.07968426868174212,95.2652591299962,2.109050330869114
0.3202134756504336,5.059681359577735,0.08697144420476338,94.83118600848898,2.3024490193852136
0.3468979319546364,5.064723022734758,0.0942658770265498,94.39650510023989,2.496125726252519
0.3735823882588392,5.0697751225108965,0.1015675822272807,93.96121630274676,2.6900804643893648
0.400266844563042,5.07483763852026,0.10887657476323823,93.52531971582287,2.884313148550917
0.4269513008672448,5.079910550995398,0.11619286960907456,93.08881541864682,3.0788237034902144
0.4536357571714476,5.084993840178489,0.12351648174786745,92.65170348977225,3.273612054243796
0.4803202134756504,5.090087484676302,0.13084742613767936,92.2139840614409,3.4686780997795164
0.5070046697798533,5.095191461460197,0.13818571771155783,91.77565731958268,3.6640217129965413
0.533689126084056,5.100305745866118,0.1455313713775352,91.33672350381563,3.8596427407253504
0.5603735823882589,5.105430311594603,0.1528844020186288,90.89718290744588,4.055541003727735
0.5870580386924616,5.110565130045846,0.16024482443499158,90.45703590107462,4.251716285349141
0.6137424949966644,5.115710169009933,0.1676126532299621,90.01628297909832,4.448168309166356
0.6404269513008672,5.120865395925336,0.17498790309355441,89.57492464402334,4.644896794596579
0.66711140760507,5.126030776593545,0.18237058869063105,89.1329614520998,4.841901434961566
0.6937958639092728,5.13120627504218,0.18976072464899318,88.69039401818182,5.039181895151408
0.7204803202134756,5.136391853524984,0.1971583255593807,88.24722301572734,5.236737811624527
0.7471647765176784,5.141587472521832,0.20456340597547218,87.80344917679831,5.434568792407673
0.7738492328218812,5.146793090735121,0.2119759804135563,87.35907329218895,5.632674417034223
