plant,cad,glucose_nrmse,biomass_nrmse
sim1,ethanol only,54.96922909305099,119.84842761715822
sim1,every 120 min,18.200206032478714,43.481118158310416
sim1,every 60 min,15.113379093129028,34.42400298480101
sim1,every 30 min,12.877410870577242,26.069293460713173
sim1,every 15 min,11.835645122874297,19.068844028534404
sim1,every 10 min,11.157341875927743,15.625925937935785
sim2,ethanol only,4.542107940598133,136.43237525024264
sim2,every 120 min,2.4370411671427714,53.319915614474326
sim2,every 60 min,2.0497700292969685,39.984755121936736
sim2,every 30 min,1.9704138572783778,30.138984527479092
sim2,every 15 min,1.8059139600852074,22.159363310635058
sim2,every 10 min,1.8657551156164922,18.36557914275345
sim3,ethanol only,0.9938699098240033,106.4742976140389
sim3,every 120 min,1.2811053974264575,24.431472056271485
sim3,every 60 min,1.2721017741416079,19.58502995185731
sim3,every 30 min,1.147863107439828,15.942727156890074
sim3,every 15 min,1.2013094041165544,13.57357339599028
sim3,every 10 min,1.0166558072551926,12.118671122775341
sim4,ethanol only,6.3506087842471315,15.11996876915759
sim4,every 120 min,6.140718366129048,7.560682174155747
sim4,every 60 min,5.948906255911477,5.955728881224555
sim4,every 30 min,5.636041217963974,4.605551156477301
sim4,every 15 min,5.077087833003447,3.4614213315772333
sim4,every 10 min,4.6596743201712965,2.8742613703035587
sim5,ethanol only,26.843999322711543,91.16465130301829
sim5,every 120 min,11.607164412978468,7.104897496235684
sim5,every 60 min,10.174549984215096,5.227113347242842
sim5,every 30 min,8.580301335426734,4.233507798866176
sim5,every 15 min,7.005821453315831,3.50919511322185
sim5,every 10 min,6.004280576205569,3.1264114472286013
sim6,ethanol only,2.179588278711234,253.10429899318277
sim6,every 120 min,1.912221494384218,63.17972582276582
sim6,every 60 min,1.5808858194672017,45.63796947421074
sim6,every 30 min,1.5096921492331938,32.54608802006188
sim6,every 15 min,1.3353901146447829,22.583639884125095
sim6,every 10 min,1.3727729515915466,17.977646999102806
sim7,ethanol only,13.01418704815591,740.360348991397
sim7,every 120 min,5.763304880635715,70.35434948240045
sim7,every 60 min,5.044760437205075,48.31740887489457
sim7,every 30 min,4.516896731119737,31.123739886343113
sim7,every 15 min,4.019254420849584,19.019043142837372
sim7,every 10 min,3.7823572020870038,14.01704896085564
sim8,ethanol only,13.940354495794407,43.36026191524228
sim8,every 120 min,11.921078088136474,33.32707612910934
sim8,every 60 min,10.741046274519425,32.20057301613305
sim8,every 30 min,10.424174689073535,25.66426662494507
sim8,every 15 min,9.818244041169553,20.1093033212327
sim8,every 10 min,9.664362516435412,17.313540568269737
sim9,ethanol only,2.7961943557403184,22.687832838906576
sim9,every 120 min,2.7467538998902405,20.37380726189117
sim9,every 60 min,2.2982284375931057,17.706218853328156
sim9,every 30 min,2.265902721392346,15.827235902949347
sim9,every 15 min,2.008723223207977,12.352516380773325
sim9,every 10 min,2.091713103704337,10.980159916038794
